ID товара,Название,Автор,Цикл,Том,Категория,Подкатегории,Издательство,Серия,Год издания,Возрастные ограничения,Переводчик,Художник,Цена,Цена со скидкой,Рейтинг,Кол-во оценок,ISBN,Аннотация,Отрывок,Обложка,Кол-во страниц,Тип обложки,Формат,Вес,Тираж,Наличие на сайте,Поступит в продажу,Наличие в магазинах,Наличие в местных магазинах,Карта
2947146,Интерактивный календарь ожидания Рождества для детей и взрослых (+120 стикеров),Сапрыкина А.А.,-,-,Детская религиозная литература,,Вольный Странник,-,2022,0+,-,Е. Цымбаревич,532,444,0.0,0,978-5-00178-119-6,"Интерактивный настенный календарь — наглядный путь к Рождеству Христову для всей семьи. В набор для творчества входит большой красочный плакат, 120 стикеров, книга с заданиями на каждый из сорока дней Рождественского поста. Этот календарь, оформленный яркими акварельными иллюстрациями, поможет детям и взрослым создать дома праздничное настроение и встретить Рождество Христово в православных традициях.",-,https://img-gorod.ru/29/471/2947146_detail.jpg,32,Мягкая глянцевая,29.5 x 21 x 0.3,200,4000,Нет в наличии,-,-,-,-
2094230,Винни и мед (Кн.с пищалкой). (Эгмонт),-,-,-,Детская художественная литература,Книги-игрушки,"Эгмонт Россия ЛТД, ЗАО",-,2006,-,-,-,214,214,0.0,0,5-9539-1072-X,Отправляйся на поиски меда вместе с медвежонком Вини. Читай книжку и нажимай на пищалку в животике у мишки! Формат: 15 см х 18...,-,https://img-gorod.ru/20/942/2094230_detail.jpg,-,Картон,-,-,-,Нет в наличии,-,-,-,-
2946592,Лесные жители (6+),Маковский А.,-,-,Детская художественная литература,Стихи и песни,Аякс-Пресс,-,2022,6+,-,Белозерцева Е.,395,349,4.0,1,978-5-94161-902-3,"Новая книга Александра Маковского ""Лесные жители"" - настоящая энциклопедия животного мира России для самых маленьких любителей фауны, да еще и написанная в стихотворной форме. Здесь собрано столько животных и птиц, что в природе одновременно и в одном месте не встретишь! Красавица-рысь и величественный тигр, певица-иволга и хитрюга-хорёк, ""одноногая"" цапля и добрая ящерица, сонливый уж и хулиганка-норка, гордый волк и неуловимый юрок… Они не просто тут собрались - автор поведал о зверьках и птичках, точно и ярко подмечая основные характерные качества каждого лесного жителя. Это рассказ в весёлых стихах, которые легко запоминаются и, как известно, всегда привлекают детей. Стихотворения расположены в алфавитном порядке, чтобы в такой лёгкой и ненавязчивой форме ребята могли попутно ещё и повторить алфавит.",-,https://img-gorod.ru/29/465/2946592_detail.jpg,64,Твердая бумажная,27 x 20.2 x 1,466,1000,Нет в наличии,-,-,-,-
2945214,Пальчиковая раскраска. В деревне,Мироненко А.,-,-,Детская художественная литература,Раскраски,МОЗАИКА kids,Пальчиковые раскраски,2022,-,-,Юлия Курылёва,110,110,0.0,0,978-5-4315-2687-9,"В этой книге мы собрали вместе все самое важное и интересное для ребенка. Рисование пальчиками способствует развитию мелкой моторики, мышления, логики и творческих способностей. Цветные контуры помогут малышу быстрее сориентироваться и подобрать нужный цвет. Также внутри вас ждут задания для закрепления навыков, развивающие вопросы и забавные стихи. Творите, изучайте животных и, конечно, не бойтесь фантазировать!",-,https://img-gorod.ru/29/452/2945214_detail.jpg,16,Мягкая глянцевая,25.5 x 19.5 x 0.2,70,7000,Нет в наличии,-,-,-,-
2945216,Пальчиковая раскраска. В море,Мироненко А.,-,-,Детская художественная литература,Раскраски,МОЗАИКА kids,Пальчиковые раскраски,2022,0+,-,Юлия Курылёва,110,110,0.0,0,978-5-4315-2689-3,"В этой книге мы собрали вместе все самое важное и интересное для ребенка. Рисование пальчиками способствует развитию мелкой моторики, мышления, логики и творческих способностей. Цветные контуры помогут малышу быстрее сориентироваться и подобрать нужный цвет. Также внутри вас ждут задания для закрепления навыков, развивающие вопросы и забавные стихи. Творите, изучайте животных и, конечно, не бойтесь фантазировать!",-,https://img-gorod.ru/29/452/2945216_detail.jpg,16,Мягкая глянцевая,25.5 x 19.5 x 0.2,70,7000,Нет в наличии,-,-,-,-
332357,Р Раскраска с плакатом № РП 1605 Тачки,Шульман М.,-,-,Детская художественная литература,Раскраски,Эгмонт Россия ЛТД,Раскраска с плакатом,2017,0+,-,-,112,112,0.0,0,978-5-4471-3464-8,Внутри этой замечательной книжки-раскраски тебя ждет подарок - великолепный двусторонний плакат с любимыми героями! Для детей младшего школьного возраста.,-,https://img-gorod.ru/33/235/332357_detail.jpg,16,Мягкая глянцевая,28.5 x 21.5 x 0.1,70,10000,Нет в наличии,-,-,-,-
2928722,Кодекс суриката,Милихин А.,-,-,Детская художественная литература,Сказки,Издательские решения,-,2022,0+,-,-,538,538,0.0,0,978-5-0056-1598-5,"В пустынных саваннах Южной Африки живёт семья сурикатов – папа, мама, дети. Родители обеспечивают пропитание, а дети ходят в школу, где постигают все премудрости этой жизни. Что делать, если с тобой случилась неприятность. Как организовать порядок в своей комнате. Почему не следует пропускать уроки и тренировки. Что такое «не везёт» и как с этим бороться.В конце курса каждого ждёт настоящий экзамен. Справятся ли малыши и как им в этом поможет Кодекс суриката?",-,https://img-gorod.ru/29/287/2928722_detail.jpg,200,Мягкая бумажная,20.5 x 14.5 x 1.2,250,-,Нет в наличии,-,-,-,-
2942911,Тайный план Ужасного Генри,Саймон Ф.,-,-,Детская художественная литература,"Проза для детей. Повести, рассказы",Мелик-Пашаев,Ужасный Генри,2022,-,"Конча Н., Мельниченко М.",Росса Т.,780,780,0.0,0,978-5-00041-511-5,"Непослушного восьмилетнего мальчугана по имени Генри трудно назвать примером для подражания. Он не любит ходить в школу, есть на обед овощи и делать всё, что говорят взрослые. Своим поведением Генри приводит в ужас родителей и учителей, но рассказы о его проделках вот уже почти 30 лет заставляют хохотать читателей по всему миру.",-,https://img-gorod.ru/29/429/2942911_detail.jpg,128,Мягкая бумажная,20.7 x 13.5 x 1.5,220,3000,Нет в наличии,-,-,-,-
2943465,Приключения Алисы в Стране чудес,Кэрролл Л.,-,-,Детская художественная литература,Сказки,V-A-C press,-,2022,6+,"Н. Демурова, С. Маршак, Д. Орловская и др.",П. Пепперштейн,2010,2010,3.0,1,978-5-907183-52-0,"«Приключения Алисы в Стране чудес» Льюиса Кэрролла — одна из самых важных книг для Павла Пепперштейна. Он перечитывал ее бессчетное количество раз и практически выучил наизусть. Эта сказка и этот художник — идеальная пара.  Что если все вокруг станет похожим на сон? Что если забраться в наше воображение и понаблюдать за происходящим там? Что если вдруг исчезнут правила, по которым все существует? Взрослые думают, будто в нашем мире все подчинено строгим законам, но мы-то с тобой знаем — им только так кажется. Алиса и Пепперштейн не дадут соврать: за обычными вещами всегда скрывается неведомое, а со страниц книг в нашу реальность струится волшебство, и мимо тебя оно точно не проскочит, ведь ты — ребенок.",-,https://img-gorod.ru/29/434/2943465_detail.jpg,146,Мягкая бумажная,37.5 x 30 x 1.8,1320,1500,Нет в наличии,-,-,-,-
2941227,Ответы на вопросы о библейской экономике,Реннер Р.,-,-,Детская религиозная литература,,Мир,-,2009,-,-,-,227,227,0.0,0,0-89274-906-7,"Вашему вниманию предлагается книга ""Ответы на вопросы по библейской экономике"".",-,https://img-gorod.ru/29/412/2941227_detail.jpg,72,Мягкая бумажная,20.5 x 14.5 x 0.5,86,-,Нет в наличии,-,-,-,-
